,company_name,reuters_address,description,industry,leadership
0,3CNERGY LIMITED,https://www.reuters.com/companies/CNERbi.SI,"3Cnergy Ltd is a Singapore-based investment holding company. The Company provides services to the property industry. The Company operates through the real estate property and development consultancy segment. Its segment is comprised of real estate development and related consultancy, including architectural design, project financial feasibility assessment and construction management services. It offers real estate valuation and appraisal services on properties ranging from housing and development board flats, private residential, commercial and industrial properties in Singapore. The valuation services offered include mortgage and financing, sale and purchase, rental valuation, land valuation, development appraisal, En-bloc sale, fire insurance, property tax, compulsory acquisition and stamp duty valuation. The Company’s subsidiaries include 3C Marina Park Sdn. Bhd, Orientis Solutions Sdn Bhd and 3C Property Consultants Pte. Ltd.",Real Estate Operations,"{""Kooi Ong Tong"": ""Non-Executive Chairman"", ""Chee Khuen Chung"": ""Chief Executive Officer"", ""Soon Hoe Leow"": ""Group Financial Controller"", ""Kok Siong Yeo"": ""Head - Marketing & Training"", ""Sim Ving Lim"": ""Company Secretary""}"
1,8TELECOM INTL HOLDINGS CO LTD,https://www.reuters.com/companies/ETEL.SI,"8Telecom International Holdings Co. Ltd. is an investment holding company. The Company is a telecommunication infrastructure solution provider and a property developer in China. The Company is engaged in designing, manufacturing and distributing telecommunication pipes, telecommunication and other towers, the provision of telecommunication engineering services, as well as the development of commercial property. The Company is engaged in five business segments: Tele-communications pipes, which is engaged in manufacturing and selling of communications materials; Tele-communications engineering services, which provides installation services for various telecommunications engineering products; Tele-communications and other towers, which is engaged in the manufacture and installation of telecommunications and other towers; Property, which is engaged in the development, sale and rental of properties, and Others, which is engaged in investment holding.",Communications Equipment,"{""Guanqin Shen"": ""Vice President"", ""Chuanlong Shan"": ""Executive Director"", ""Zhejun Wang"": ""Executive Director"", ""Kok Meng Lim"": ""Company Secretary"", ""Ying Xiang"": ""Non-Independent Non-Executive Director""}"
2,A-SMART HOLDINGS LTD.,https://www.reuters.com/companies/ASMA.SI,"A-Smart Holdings Ltd., formerly Xpress Holdings Ltd is an investment holding company. The Company offers a range of print management services, including time-sensitive financial printing, conceptualization, design, copywriting, translation, typesetting, color proofing, printing, post-press packaging, global distribution and delivery. The Company operates through two segments Print Media and Corporate. The Print Media segment is involved in the printing of financial research reports, annual reports, asset management reports, Initial public offering prospectuses, corporate brochures, yearbooks, trade directories, magazines, and other commercial publications and collaterals. The Corporate segment includes investment holdings and Corporate Office, which incurs general corporate expenses and derives revenue from management fees and interest income from subsidiaries.",Printing Services,"{""Weidong Ma"": ""Executive Chairman of the Board"", ""Chong Keen Sam"": ""Lead Independent Director, Non-Executive Chairman of the Board"", ""Huan Chiang Lim"": ""Chief Executive Officer, Executive Director"", ""Ngan Kia Yo"": ""Group Financial Controller"", ""Lim Bob"": ""General Manager - VIP Sales""}"
3,A-SONIC AEROSPACE LIMITED,https://www.reuters.com/companies/ASON.SI,"A-Sonic Aerospace Limited is Singapore-based company, which is engaged in investment holding and providing management services. The Company operates through two segments: Aviation and Logistics. The Company's Aviation segment is engaged in selling, leasing and purchasing of aircraft and aircraft engines. The Logistics business segment is engaged in providing supply chain management services. The Company is engaged in various aspects of logistic solutions, including international and domestic multi-modal transportation, warehousing, distribution, customs clearance and airport ground services. The Company's geographical segments include The People's Republic of China, Australia, the United States of America, Hong Kong and Other countries. The Company operates in approximately 40 cities in over 20 countries in the continents of Asia, North America, Sub-Continent India and Europe. Its subsidiaries include A-Sonic Aviation Solutions Pte. Ltd. and A-Sonic Logistic Solutions Pte. Ltd.",Air Courier,"{""Janet LC L. C. Tan"": ""Chairman of the Board, Chief Executive Officer, Founder"", ""Lay Yong Tan"": ""Co-Founder, Executive Director"", ""Gek Lim Tay"": ""Executive Director"", ""C.P. Chan"": ""Company Secretary"", ""Hoe Soon Loo"": ""Joint Company Secretary""}"
4,ABF SPORE BOND INDEX FUND ETF,NOT FOUND,N.A,N.A,N.A
5,ABR HOLDINGS LIMITED,https://www.reuters.com/companies/ABRH.SI,"ABR Holdings Limited is an investment holding company. The Company is engaged in the manufacture of ice cream, operation of ice cream parlors cum restaurants, operation of other specialty restaurants. Its segments include Restaurants and Confectionery, and Others. Its brands include Swensen's, Earle Swensen's, Yogen Fruz, Season Confectionary & Bakery, Season Cafe and Tip Top. Its Swensen's offers ice cream in a range of designed sundae concoctions. Its Earle Swensen's offers buffet salad bar, which features a range of compound salads, fresh greens, fruits and homemade dressings. Its Yogen Fruz offers frozen yogurt in over 1,300 locations operating in approximately 30 countries around the world. Its Season Confectionary & Bakery offers baked cakes, bread, confectionery, pastries and mooncakes. Its Season's cafe offers American western/Asian cuisine and Swensen's ice cream. Its Tip Top Curry Puffs sells curry puffs. It operates various brands in Singapore, Malaysia, Brunei and China.",Food Processing,"{""Tiang Choon Keith Chua"": ""Executive Chairman of the Board"", ""Soo Noi Ng"": ""Group Chief Financial Officer"", ""Yee Lim Ang"": ""Managing Director, Executive Director"", ""Cheng Wee Ng"": ""General Manager - Swensen's Operation"", ""Lian Seng Ang"": ""Executive Director""}"
6,ABTERRA LTD,https://www.reuters.com/companies/ABTR.SI,"Abterra Ltd. is engaged in trading, investment holding and provision of management services to its subsidiary companies. The Company is a supply chain manager in the natural resources business, trading in iron ore, coking coal and coke. The Company operates in two segments: Iron ore trading, and Coke and coal trading. The Company's business segments operate in five geographic areas: Singapore, which include iron ore and coal trading, and the investment holding; China, which is engaged in coal mining and provision of logistics services; Macau, which is engaged in iron ore and coal trading; Indonesia, which is engaged in iron ore and coal mining and trading, and Australia, which holds the rights, titles and interests in the mine and property. The Company is also engaged in property investment, property holding and property development. It is involved in mining, exploration, exploitation, production, sale and trading of minerals, resources and commodities.",Coal,"{""Suirong Cai"": ""Chief Executive Officer, Executive Director"", ""Zhiyang Liu"": ""Head of Trading, Executive Director"", ""Bee Leng Chew"": ""Company Secretary"", ""Ying Liu"": ""Independent Director"", ""Chun Tat Chan"": ""Non-Executive Independent Director""}"
7,ABUNDANCE INTERNATIONAL LTD,https://www.reuters.com/companies/ABUN.SI,"Abundance International Limited, formerly Craft Print International Limited, is a Singapore-based company, which is engaged in the chemicals trading and manufacturing business. The Company is engaged in chemicals manufacturing, trading, storage and/or the manufacture or trading of equipment, accessories, consumables or peripherals used in the chemical industry and other related businesses. The Company invests in companies and other entities through equity, securities and other instruments, such as bonds or convertible bonds, and invests in quoted securities and instruments, such as without limitation, funds and bonds. The Company offers its services to various sectors, including chemicals manufacturing and distribution, property investments, and construction and related sectors. The Company, through its subsidiary, Orient-Salt Chemicals Pte Ltd., is engaged in chemical business. The Company's subsidiaries also include Craft Print Pte Ltd and Printing Farm Pte Ltd.",Printing Services,"{""Jiangang Gang Shi"": ""Executive Chairman of the Board"", ""Kok Yin Sam"": ""Managing Director, Executive Director"", ""Pei Shan Tan"": ""Financial Controller"", ""Hao Jiang"": ""Executive Director"", ""Beng Hong Ong"": ""Joint Company Secretary""}"
8,ACCORDIA GOLF TRUST,https://www.reuters.com/companies/ACCO.SI,"Accordia Golf Trust is a business trust. The Company is engaged in the business of owning, operating and maintaining golf courses and golf course-related assets in Japan. Its objective is to generate and distribute long-term, stable cash flow to investors through investing in golf courses, driving ranges and golf course related assets for investors' long-term benefit. The Company's portfolio consists of approximately 90 golf courses located across Japan. Approximately 70% of its portfolio is located in over three metropolitan areas in Japan, such as the Greater Tokyo, the Greater Nagoya and the Greater Osaka. Its Golf's Loyalty Card program offers visitors to the golf course to clock in points for each play. Its Initial Portfolio consists of a range of golf courses, such as Daiatsugi Country Club Hon Course, Daiatsugi Country Club Sakura Course, Northern Country Club Nishikigahara Golf Course, Tokyowan Country Club, Tsuchiura Country Club, Fujioka Golf Club and Aqualine Golf Club.",Recreational Activities,"{""Kee Cheok Khoo"": ""Non-Executive Independent Chairman of the Board of Trustee-Manager"", ""Yoshihiko Machida"": ""Chief Executive Officer, Executive Director of Trustee-Manager"", ""Toyo Nakanishi"": ""Executive Director of Trustee-Manager"", ""Lay Hong Tan"": ""Company Secretary"", ""Teck Sin Chong"": ""Non-Executive Independent Director of Trustee-Manager""}"
9,ACCRELIST LTD,https://www.reuters.com/companies/ACCR.SI,"Accrelist Ltd., formerly WE Holdings Ltd., is a distributor and manufacturers' representative of electronics components and test equipment for the disk drive industry. The Company acts as a commission agent, and provides services, such as system integration and commodities resources trading. Its segments include system and equipment distribution, and commodities and resources. The system and equipment distribution segment provides engineering support services ranging from installation, calibration, integration and testing of systems, applications training to maintenance of systems. The commodities and resources segment provides supply chain management for natural materials, and is engaged in integrated sourcing, marketing and transportation operations. Its distribution products include memory components and module, power management, microcontrollers, inductors, resistors, connectors and transistors. It is exploring opportunities in the sand, cement, metal and petroleum sectors.",Computer Hardware,"{""Yeok Kian Tea"": ""Executive Chairman of the Board, Managing Director"", ""Eng Lock Loh"": ""Chief Financial Officer, Joint Company Secretary"", ""Swee Leng Kwek"": ""General Manager"", ""Wai Kheong Woo"": ""Product Director - Marketing"", ""Wei Hsiung Lee"": ""Joint Company Secretary""}"
